,par_id,art_id,keyword,country,text,label,orig_label,label_class,len_text,unbalanced_power,shallow_solution,presupposition,authority_voice,metaphor,compassion,the_poorer_merrier
4814,4815,@@19566695,hopeless,gb,"The BBC is associate in nursing invaluable , incomparable subject asset . Since 1922 , the world help broadcaster induce lay aside lives , liberated mind , suffer the hopeless and leave fantastic amusement . inwards Uganda , my place of origin , we listen to BBC bulletins as reliably and much type a we beg to divinity .",1,3,[1 0 0 0 0 0 0],301,1,0,0,0,0,0,0
7719,7720,@@20376720,disabled,pk,"In this snap adopt along December 6 , 2010 Abdul Sattar Edhi , pass of Pakistani 's Edhi foundation have a invalid orphan astatine the orphanage of the charity atomic number 49 Karachi . photograph : afp",1,3,[1 1 0 0 0 0 0],183,1,1,0,0,0,0,0
3386,3387,@@24695955,in-need,ie,together they will bring more than 70 years of volunteer to the party which celebrates the forge of the charities and organisations that have prince Charles as their patron . They were nominative by their offset manager for all the years spent giving aroused support to people nigh inward pauperism .,1,2,[1 0 0 0 0 0 0],294,1,0,0,0,0,0,0
1898,1899,@@4619315,women,bd,"The Kalpana Chakma case demonstrates how subject a people constitute accomplish by attacks on women and how those guilty of information technology represent appropriate to get away scot-free . This woman read outstanding courageousness , a panthera leo ticker who spoke upwardly for the violated until she , herself , was violently silenced.",1,4,[1 0 0 0 1 1 1],285,1,0,0,0,1,1,1
7309,7310,@@18976333,homeless,bd,"Trauma burn up rich for survivors ampere giant mudslides cut lives short <h> life history equal cut short circuit . many are urgently cling to their own selves , without have it off ace . Survivors are homeless .",1,4,[0 0 1 0 1 1 0],190,0,0,1,0,1,1,0
4603,4604,@@22556918,homeless,gh,"grant to Okine , atomic number 2 live often touched aside the problems and spot of poverty stricken minor , and angstrom the Christmas and New Year is be historied , he taught information technology sassy to ploughshare with the deprived and stateless .",1,4,[1 1 0 0 0 1 0],211,1,1,0,0,0,1,0
7812,7813,@@1666939,hopeless,za,"SABC is traitorous , simulated and hopeless .. fair close fitting the SABC and donate altogether the billions and jillion of universal gas constant 's to the pitiable , and so give DSTV 1/8 leontyne price to the poor . and then , we will rich person a safe storm troops . SABC is rattling K*K liken with former tertiary planetary coutries .",1,3,[1 0 1 1 0 0 0],257,1,0,1,1,0,0,0
2067,2068,@@4675937,disabled,jm,"it is intended to deepen the church building 's sentience or so persons with disability inch their congregations and end to end Jamaica , and will get wind information technology improving strong arm accessiblility to it build up , and offering training , employment and membership on committees/boards to handicap members .",1,3,[1 0 0 0 0 0 0],292,1,0,0,0,0,0,0
2778,2779,@@10362804,women,bd,""""""" We take in a real chance to speed up the developing of nomadic engineering that can carry through biography , help fair sex reach their possible and rise the growth of emerging saving for Britain to trade with . A sir thomas more prosperous , relate and static macrocosm is firmly in our subject interest . """"""",1,3,[1 0 0 0 0 0 0],297,1,0,0,0,0,0,0
6188,6189,@@20021328,women,za,"""Our land make up in need of unplayful change . We lav keep to celebrate char 's day , fuddle monolithic budget atomic number 85 events , give out kickshaw cup of tea with type a cute lipsticks and keep female person winner at one time group a year . This is without taking aside from especial woman who genuinely exist make water inroads into their environs only we are not upright amp cute lipstick , beaver state duad of shoe , we are non exactly pretty and piano and squishy . We make up non equitable tiddler bearers , and there for breeding . then , wherefore represent we as women , sol accepting of the placative and mollification hold atomic number 85 us and omit the inequalities through and through acceptance . I embody away no more signify competitive , but often , equally eve indium politics , focus personify shifted on true government issue away pull back public attention to early """" things """" inwards order for us to glucinium distracted . By shifting our focusing from relevant payoff we draw a blank why we constitute disgruntled and furious and naught ever so changes .""",1,4,[0 1 0 0 0 0 0],908,0,1,0,0,0,0,0
3210,3211,@@20786174,refugee,jm,"""In a statement , the UNHCR pronounce it is """" alarmed and have to doe with """" by tues 's incident and urged the """" world and entirely those refer with refugees to continue extending security and to usher empathy for civilians flee persecution and violence . """"""",1,3,[1 0 0 0 0 1 0],257,1,0,0,0,0,1,0
10098,10099,@@25591563,vulnerable,au,"After a tragic effect during his previous life as associate in nursing FBI agent , Sawyer lost half deoxyadenosine monophosphate peg and developed an antipathy to guns . thus instead of the common muscle bound , wise-cracking , gun-toting cliche atomic number 2 's often wager , here he 's group a vulnerable , disenable family human race caught astir inward adenine bend extortion plot .",1,2,[0 0 0 0 0 1 0],302,0,0,0,0,0,1,0
7462,7463,@@23936816,refugee,in,"merely fare n't blank out american samoa the title subtly merely signally reminds u , Sudani From Nigeria represent altogether some our fractured identities . In associate in nursing african body politic lacerated by civil war football is the only passport to a better lifetime for fretful nipper . many pull in information technology but more accrue by the wayside . The african front inch red indian football game goes a prospicient room ( think the kenyan , Chima Okorie ? ) and atomic number 49 the retiring two decades , the locomotive of Kerala football , the 7 soccer , ingest hummed to the footfalls of african students and nestling . It embody awfully surprise that it took wholly this while to hold a peep into that dark secluded of what fix them football refugee .",1,3,[0 0 1 0 1 1 0],653,0,0,1,0,1,1,0
