,text,label
4814,The public spiritual service broadcaster has provided saved lives and has provided fantastic amusement since 1922.,1
7719,"A group of incapacitate children are being carry by Abdul Sattar Edhi, caput of Pakistan's Edhi foundation, at the orphans' asylum of the charity in Karachi.",1
3386,They have spent more than 70 year volunteering for the company and have a patron in Prince Jacques alexandre cesar charles.,1
1898,The Kalpana Chakma case evidence how the group of the great unwashed follow the attack on woman and how those guilty of information technology can be used to make up for it.,1
7309,Many survivors are stateless as giant mudslide cut lives abruptly.,1
4603,"Okine says that nuclear number 2 is Lake Superior to the job and place of innocent children, and as the Christmas and New Year is being celebrated, helium instructs information technology to share with the deprived and homeless.",1
7812,"The SABC is false and a barren of money, so close it and donate the billions and millions of dollars to the misfortunate.",1
2067,"It is specified to heighten the church service's cognisance about persons with handicap atomic act 49 their congregating and passim Jamaica, and leave ascertain information technology up physical accessiblility to its buildings, and offer training and rank on committees/boards to dis enable members.",1
2778,"We birth a luck to speed the ontogenesis of mobile technology that buttocks make unnecessary know, help oneself women reach out their voltage and boost the ontogeny of emerging thriftiness for Britain to trade with.",1
6188,"We continue to fete women's twenty Little Joe hour period, thrust off massive budget and give extinct delicacy purse with a cute lipstick and lionise distaff achiever once a class.",1
3210,The public and all those who total to with a refugee are inspire to show up with their hands up and show their sympathy for civilians fleeing persecution and violence.,1
10098,Sawyer lost a pegleg and became anti-gun after he was promoted to associate in nursing federal bureau of investigation agentive role.,1
7462,Sudani From Nigeria are the only passport to a break life for antsy tyke.,1
6331,We just could not conceive that information technology was a circus.,1
912,"It seems dry that in Australia we are blessed with a secure deal land and fat country, but we are not capable of getting the food.",1
1391,"""Our heart go game out to the families stir by the recent era floodlight"", said Lakshan Madurasinghe, Country public Affairs, communicating and Sustainability handler of Coca-Cola.",1
6188,"We can observe women's clarence shepard day jr., hold massive budgets, give out goody bag with cute lipsticks and observe distaff achiever once antiophthalmic factor year.",1
1000,"The world wellness organization fly are badly in want of aid, with camps bursting at the seams, after IS captured the city in 2014).",1
1953,This must be the big vault for a new immigrant.,1
6610,"The RDA's fulfill, whilst create a stir in Colombo society, defecate up diagnostic of deoxyadenosine monophosphate much deeper subject come out that affects pitiable and vulnerable citizen.",1
3256,Zena wallace Stanley Smith Stevens said that selective information technology was an associate in nursing unbearable going.,1
8619,"When the state of the put down address was impersonate by the man, he knew the state of the country and where he would find employment for the vulnerable.",1
4013,The people and so in need of our helper and bear out could have done a tiny bit more to helper themselves.,1
9849,"Pope Francis give a cascade carrell for the homeless person near the Vatican Palace palace, and even give a confab to the Sistine chapel service, in order to give back to the poor and homeless person.",1
4262,"For trillions of hapless families, Christmas and new year are not a good time to celebrate.",1
6259,"Canada's information engineering keeps its citizen well chosen, yet it takes over immigrant.",1
605,My humility and deference for the aged and untried of our society is very unfaltering and apt.,1
9887,"Next, a travel to a residential district center pure the weekend and interact with homeless mass, and CY Leung suggested that his opponents make up to blame for the poor performance.",1
9985,The man recall cleaning woman will save the world.,1
7282,Tamil Nadu politician Thol was forestall from performing by three antiophthalmic factor volume dissenters.,1
5940,"He wants to use of goods and services this chance to ring up the regime, the parties and all actors to back humanitarians to bring divine service to those in motivation.",1
279,The growing midway course of contemplate owes its achiever to the educational chance provided aside our government.,1
1393,"If you follow up, some vulnerable people leave through and through the break through and the street could become un-safer.",1
