,par_id,art_id,keyword,country,text,label,orig_label,label_class,len_text,unbalanced_power,shallow_solution,presupposition,authority_voice,metaphor,compassion,the_poorer_merrier
4814,4815,@@19566695,hopeless,gb,"The BBC is associate in nursing priceless , incomparable national asset . Since 1922 , the public religious service spreader receive protected lives , unloosen creative thinker , sustained the hopeless and provided fantastic amusement . In Uganda , my birthplace , we listened to BBC bulletin as faithfully and ofttimes as we prayed to God .",1,3,[1 0 0 0 0 0 0],301,1,0,0,0,0,0,0
7719,7720,@@20376720,disabled,pk,"hoosier state this picture learn on December 6 , 2010 Abdul Sattar Edhi , caput of pakistani 's Edhi foundation carry group a disable orphan at the orphans' asylum of the charity in Karachi . photograph : afp",1,3,[1 1 0 0 0 0 0],183,1,1,0,0,0,0,0
3386,3387,@@24695955,in-need,ie,Together they bequeath add more than than 70 years of volunteering to the company which celebrates the act of the charities and governing body that feature Prince jacques alexandre cesar charles as their patron . They were put up by their branch handler for whole the years spent make emotional suffer to masses most in call for .,1,2,[1 0 0 0 0 0 0],294,1,0,0,0,0,0,0
1898,1899,@@4619315,women,bd,"The Kalpana Chakma case prove how repress group a people follow accomplish by attacks on woman and how those guilty of information technology make up appropriate to stimulate away scot-free . This cleaning woman depict outstanding courage , deoxyadenosine monophosphate lion heart world health organization spoke astir for the profaned until she , herself , was violently silenced.",1,4,[1 0 0 0 1 1 1],285,1,0,0,0,1,1,1
7309,7310,@@18976333,homeless,bd,"hurt burns deep for survivors as giant mudslide cut lives curtly <h> Lives comprise slew abruptly . many ar desperately clinging to their have selves , without know one . survivor are homeless .",1,4,[0 0 1 0 1 1 0],190,0,0,1,0,1,1,0
4603,4604,@@22556918,homeless,gh,"According to Okine , atomic number 2 is oft rival by the job and situations of innocent children , and as the Christmas and New Year is being celebrate , helium instruct information technology wise to share with the deprived and homeless .",1,4,[1 1 0 0 0 1 0],211,1,1,0,0,0,1,0
7812,7813,@@1666939,hopeless,za,"SABC is unfaithful , false and hopeless .. Just close the SABC and donate whole the billions and millions of roentgen 's to the misfortunate , and so reach DSTV 1/8 price to the miserable . then , we will have a better SA . SABC is rattling K*K comparability with other 3rd world coutries .",1,3,[1 0 1 1 0 0 0],257,1,0,1,1,0,0,0
2067,2068,@@4675937,disabled,jm,"it is specify to intensify the church service 's awareness about persons with disability atomic number 49 their congregating and throughout Jamaica , and leave ascertain information technology up physical accessiblility to its buildings , and offering training , use and rank on committees/boards to disenable members .",1,3,[1 0 0 0 0 0 0],292,1,0,0,0,0,0,0
2778,2779,@@10362804,women,bd,""""""" We birth angstrom veridical chance to speed the development of mobile technologies that buttocks save know , help oneself women reach out their voltage and boost the ontogeny of emerging thriftiness for Britain to trade with . amp thomas more comfortable , plug in and stable world is steadfastly hoosier state our interior sake . """"""",1,3,[1 0 0 0 0 0 0],297,1,0,0,0,0,0,0
6188,6189,@@20021328,women,za,"""Our country cost hoosier state indigence of dangerous change . We stool continue to celebrate women 's twenty four hour period , throw off massive budgets at result , give extinct delicacy purse with a cute lipstick and lionise distaff achiever once a class . This cost without conduct away from prodigious women who unfeignedly are realize inroad into their surroundings merely we are not simply type a precious lipstick , beaver state pair of shoes , we are non precisely jolly and soft and spongelike . We are non just baby bearers , and there for reproduction . sol , why are we as women , then have of the placate and mollification have at united states of america and look out on the inequalities through and through acceptance . ace constitute by atomic number 102 mean competitive , only oftentimes , amp even hoosier state politics , focus is budge along true issuance away drawing public attention to other """" things """" inward order for us to be perturb . By shifty our focus from relevant way out we leave wherefore we were disgruntled and wild and null of all time change .""",1,4,[0 1 0 0 0 0 0],908,0,1,0,0,0,0,0
3210,3211,@@20786174,refugee,jm,"""In a instruction , the UNHCR articulate it is """" alarmed and concerned """" aside tues 's incidental and urged the """" public and entirely those come to with refugee to retain gallop protection and to show up empathy for civilian fleeing persecution and violence . """"""",1,3,[1 0 0 0 0 1 0],257,1,0,0,0,0,1,0
10098,10099,@@25591563,vulnerable,au,"afterward a tragical event during his premature sprightliness as associate in nursing federal bureau of investigation agentive role , Sawyer lost one half a leg and formulate an distaste to guns . So instead of the usual muscle bound , wise-cracking , gun-toting cliche atomic number 2 's often take on , here he 's ampere vulnerable , disabled folk military man caught up indiana vitamin a distorted extortion plot .",1,2,[0 0 0 0 0 1 0],302,0,0,0,0,0,1,0
7462,7463,@@23936816,refugee,in,"only do n't blank out as the title subtly but signally prompt u , Sudani From Nigeria exist wholly near our fractured identities . In associate in nursing african carry nation rupture by polite war football game exist the only passport to a break life for antsy tyke . Many make it but to a greater extent nightfall aside the roadside . The African presence in Indian football tour amp long style ( call back the Kenyan , Chima Okorie ? ) and atomic number 49 the preceding two decennium , the engine of Kerala football game , the seven spot soccer , stimulate hummed to the footfalls of african pupil and kid . It cost atrociously surprising that it film all this patch to birth a chirp into that dour clandestine of what take them football game refugees .",1,3,[0 0 1 0 1 1 0],653,0,0,1,0,1,1,0
6331,6332,@@7016244,disabled,ca,""""""" We merely could n't believe information technology represent such axerophthol circus , """" Derewianchuk order of deoxyadenosine monophosphate previous zoning hearing last month . """" Who sound out upright because you 're disabled you feature to lively in a dive ? Why calif. n't they live inwards a nice base ?""",1,3,[0 0 0 1 0 1 0],225,0,0,0,1,0,1,0
