,par_id,art_id,keyword,country,text,label,orig_label,label_class,len_text,unbalanced_power,shallow_solution,presupposition,authority_voice,metaphor,compassion,the_poorer_merrier
1066,1067,@@24115995,poor-families,ph,BUSINESSMAN Norberto Quisumbing Jr . of the Norkis Group of Companies has a challenge for families who can spare some of what they have : why not adopt poor families and help them break the cycle of poverty ?,1,4,[1 1 0 1 1 1 0],208,1,1,0,1,1,1,0
5689,5690,@@2128616,poor-families,za,"This is why I believe children from poor families must be supported . After all , the students are 100 percent correct -- education is the only tool that will take them out of the curse of poverty .",1,3,[0 0 0 1 1 1 0],198,0,0,0,1,1,1,0
2802,2803,@@1975006,vulnerable,in,"The AIMMM registers its full sympathy with the hapless female victims of violence and rape crimes , especially the young lady brutalised by beasts on a moving Delhi bus in the night of 16 December which has rightly agitated a large section of Indians . All such crimes against women and weaker sections , especially minorities , Dalits and Adivasis are highly condemnable and show the whole country in extremely bad light . It is time people , police , judiciary and government agencies stood up to discharge their duties to protect the weak and vulnerable sections of society . The AIMMM urges the government to introduce deterrent punishments for such brutal crimes . It should also hasten with the overdue Police reforms to liberate the police force from the British Raj rules and make it capable and accountable to protect all citizens , human rights and honour of ordinary people .",1,3,[1 1 0 1 0 1 0],886,1,1,0,1,0,1,0
3381,3382,@@21825014,poor-families,hk,"""This little girl with her whole life in front of her can not go to school , can not read , can not write . At age seven , she is guilty , of being one of the world 's 60 million refugees in the year 2017 ! The government claims it has implemented """" 15 years free education """" but the reality does not match the words . For pre-school children , where government policies have created a completely privatised sector , normal fees are HK$2,800 per month -- completely out of reach for poor families .""",1,4,[0 0 1 0 1 1 0],501,0,0,1,0,1,1,0
2000,2001,@@14012804,poor-families,tz,t is remiss not to mention here that not all scavenging children come from poor families . Children hailing from affluent families use dumpsites as playgrounds .,1,2,[0 0 1 0 0 0 0],161,0,0,1,0,0,0,0
5920,5921,@@9005999,in-need,bd,""""""" I expect more resources in the hands of people in need and the humanitarian workers on the frontline ( who ) are risking their lives to help them , and I expect less to be spent in the back room in transactions that do not help us get help to the people , """" she said .""",1,3,[1 0 0 0 0 0 0],274,1,0,0,0,0,0,0
5567,5568,@@18224719,homeless,my,"""The """" Good Will Walk -- Walk to Feed 2017 """" , is a series of walks all over the country with the aim of raising some RM100,000 to assist the Orang Asli during natural disasters and to feed the homeless in Kuala Lumpur .""",1,4,[1 0 0 0 0 1 0],223,1,0,0,0,0,1,0
7358,7359,@@1890329,refugee,gh,"""Vodafone Foundation Director Andrew Dunnett said : """" There were 16.7 million refugees worldwide at the end of 2013 and 50 per cent of them are under the age of 18 . Tablet-based learning programmes will provide many of the children in Dadaab with an unlimited information resource that they would otherwise not have had . """"""",1,3,[1 0 1 0 0 0 0],327,1,0,1,0,0,0,0
9791,9792,@@16927302,poor-families,ca,Osoyoos student excited about running across Haiti to help educate poor families,1,3,[1 0 0 0 0 0 0],80,1,0,0,0,0,0,0
7309,7310,@@18976333,homeless,bd,"Trauma burns deep for survivors as giant mudslides cut lives short <h> Lives are cut short . Many are desperately clinging to their own selves , without loved ones . Survivors are homeless .",1,4,[0 0 1 0 1 1 0],190,0,0,1,0,1,1,0
