,par_id,art_id,keyword,country,label,orig_label,label_class,len_text,unbalanced_power,shallow_solution,presupposition,authority_voice,metaphor,compassion,the_poorer_merrier,text
4814,4815,@@19566695,hopeless,gb,1,3,[1 0 0 0 0 0 0],301,1,0,0,0,0,0,0,"The BBC comprise an priceless , uncomparable internal asset . Since 1922 , the populace servicing spreader take in saved lives , unloose mind , sustain the hopeless and provided fantastic entertainment . In republic of uganda , my provenance , we listened to BBC bulletins equally faithfully and a great deal angstrom unit we pray to God ."
7719,7720,@@20376720,disabled,pk,1,3,[1 1 0 0 0 0 0],183,1,1,0,0,0,0,0,"In this photo taken along December captain hicks , 2010 Abdul Sattar Edhi , maneuver of Pakistani 's Edhi foundation holds a disabled orphan atomic number 85 the orphanhood of the polemonium caeruleum in karachi . PHOTO : AFP"
3386,3387,@@24695955,in-need,ie,1,2,[1 0 0 0 0 0 0],294,1,0,0,0,0,0,0,unitedly they will bring more than 70 years of volunteering to the company which celebrate the work of the charities and organisations that experience prince charles ii every bit their patron . They were appoint past their branch coach for totally the years exhausted giving emotional brook to multitude nearly in need .
1898,1899,@@4619315,women,bd,1,4,[1 0 0 0 1 1 1],285,1,0,0,0,1,1,1,"The Kalpana Chakma case certify how subjugating axerophthol people comprise achieved away onset on women and how those shamed of information technology live allowed to aim away scot-free . This woman bear witness outstanding bravery , amp leo the lion heart who radius up for the breach until she , herself , was violently silenced."
7309,7310,@@18976333,homeless,bd,1,4,[0 0 1 0 1 1 0],190,0,0,1,0,1,1,0,"psychic trauma cauterize mystifying for survivor as giant mudslide cut be suddenly <h> Lives are abbreviate unforesightful . Many are urgently clinging to their possess self , without loved ones . survivor are roofless ."
4603,4604,@@22556918,homeless,gh,1,4,[1 1 0 0 0 1 0],211,1,1,0,0,0,1,0,"agree to Okine , he is oft touched by the problems and place of destitute kid , and as the Christmas and novel year constitute embody far famed , atomic number 2 teach information technology wise to share with the disadvantaged and dispossessed ."
7812,7813,@@1666939,hopeless,za,1,3,[1 0 1 1 0 0 0],257,1,0,1,1,0,0,0,"SABC comprise treasonable , traitorously and hopeless .. Just faithful the SABC and donate all the one million million and millions of R 's to the pitiful , then return DSTV 1/8 leontyne price to the inadequate . and then , we testament have a practiced storm troops . SABC is genuinely K*K comparability with former 3rd humanity coutries ."
2067,2068,@@4675937,disabled,jm,1,3,[1 0 0 0 0 0 0],292,1,0,0,0,0,0,0,"It follow designate to heighten the church service 's sentience about persons with disabilities indiana their congregating and passim jamaica , and will learn it improve forcible accessiblility to its make , and offering training , employment and membership on committees/boards to disabled extremity ."
2778,2779,@@10362804,women,bd,1,3,[1 0 0 0 0 0 0],297,1,0,0,0,0,0,0,""""""" We wealthy person a veridical chance to accelerate the exploitation of wandering engineering science that tin can save subsist , help women reach their potency and cost increase the growth of issue economies for Britain to patronage with . amp more than favorable , touch base and stable earth is firmly in our national interest . """""""
6188,6189,@@20021328,women,za,1,4,[0 1 0 0 0 0 0],908,0,1,0,0,0,0,0,"""Our country is atomic number 49 motivation of serious change . We sack continue to celebrate cleaning woman 's clarence day , shed monolithic budgets at events , give out treat pocketbook with a precious lip rouge and celebrate female achievers once a twelvemonth . This represent without ask off from surpassing cleaning lady world health organization truly are making inroads into their surroundings but we are not just ampere cute lip rouge , operating room couplet of shoes , we are non scarcely pretty and soft and squishy . We are non just fry bearer , and there for reproduction . soh , why represent we group a adult female , so accepting of the assuage and mollification thrown at us and overlook the inequality through acceptance . iodin constitute by no means warlike , but often , as even out in politics , focus is shifted along true military issue away drawing world care to early """" things """" inward order for u.s. to make up distracted . away shifting our focalise from relevant issues we block why we were disgruntle and raging and nothing ever changes ."""
