,text,label
4814,The public religious service spreader has provided protected lives and has provided fantastic amusement since 1922.,1
7719,"A group of disabled children are being carried by Abdul Sattar Edhi, caput of Pakistan's Edhi foundation, at the orphans' asylum of the charity in Karachi.",1
3386,They have spent more than 70 years volunteering for the company and have a patron in Prince Jacques alexandre cesar charles.,1
1898,The Kalpana Chakma case show how the group of people follow the attacks on woman and how those guilty of information technology can be used to make up for it.,1
7309,Many survivors are homeless as giant mudslide cut lives abruptly.,1
4603,"Okine says that atomic number 2 is superior to the job and situations of innocent children, and as the Christmas and New Year is being celebrated, helium instructs information technology to share with the deprived and homeless.",1
7812,"The SABC is false and a waste of money, so close it and donate the billions and millions of dollars to the misfortunate.",1
2067,"It is specified to intensify the church service's awareness about persons with disability atomic number 49 their congregating and throughout Jamaica, and leave ascertain information technology up physical accessiblility to its buildings, and offer training and rank on committees/boards to dis enable members.",1
2778,"We birth a chance to speed the development of mobile technologies that buttocks save know, help oneself women reach out their voltage and boost the ontogeny of emerging thriftiness for Britain to trade with.",1
6188,"We continue to celebrate women's twenty four hour period, throw off massive budgets and give extinct delicacy purse with a cute lipstick and lionise distaff achiever once a class.",1
3210,The public and all those who come to with a refugee are urged to show up with their hands up and show their sympathy for civilians fleeing persecution and violence.,1
10098,Sawyer lost a leg and became anti-gun after he was promoted to associate in nursing federal bureau of investigation agentive role.,1
7462,Sudani From Nigeria are the only passport to a break life for antsy tyke.,1
6331,We just could not believe that information technology was a circus.,1
912,"It seems ironic that in Australia we are blessed with a good deal land and fat country, but we are not capable of getting the food.",1
1391,"""Our heart goes out to the families stirred by the recent epoch floodlight"", said Lakshan Madurasinghe, Country public Affairs, communicating and Sustainability handler of Coca-Cola.",1
6188,"We can observe women's clarence shepard day jr., hold massive budgets, give out goody bag with cute lipsticks and observe distaff achiever once antiophthalmic factor year.",1
1000,"The world health organization flee are badly in need of aid, with camps bursting at the seams, after IS captured the city in 2014).",1
1953,This must be the biggest vault for a new immigrant.,1
6610,"The RDA's fulfill, whilst creating a stir in Colombo society, make up diagnostic of deoxyadenosine monophosphate much deeper subject come out that affects pitiable and vulnerable citizen.",1
3256,Zena wallace stevens said that information technology was an associate in nursing unbearable going.,1
8619,"When the state of the land address was posed by the man, he knew the state of the country and where he would find employment for the vulnerable.",1
4013,The people and so inward need of our help and bear out could have done a tiny bit more to help themselves.,1
9849,"Pope Francis gave a shower carrell for the homeless near the vatican palace, and even gave a confab to the Sistine chapel service, in order to give back to the poor and homeless.",1
4262,"For trillions of poor families, Christmas and new year are not a good time to celebrate.",1
6259,"Canada's information technology keeps its citizen well chosen, yet it takes over immigrant.",1
605,My humility and respect for the aged and untried of our society is very unfaltering and apt.,1
9887,"Next, a travel to a community center complete the weekend and interacting with homeless mass, and CY Leung suggested that his opponents make up to blame for the poor performance.",1
9985,The man thinks cleaning woman will save the world.,1
7282,Tamil Nadu politician Thol was prevented from performing by three antiophthalmic factor volume dissenters.,1
5940,"He wants to use this chance to call up the regime, the parties and all actors to back humanitarians to bring divine service to those in motivation.",1
279,The growing halfway course of study owes its achiever to the educational chance provided aside our government.,1
1393,"If you follow up, some vulnerable people leave through and through the break through and the street could become un-safer.",1
1338,The Pacific partnership offers associate in nursing opportunities for the united states and Sri Lankan military to serve Sri Lankans.,1
9845,"From stateless to hopeful, Portland's impoverished incur axerophthol cap is their direct.",1
41,"When vanessa wrote a letter to the official from the Office of the kid's recommend, she was told that she would not be getting a response from the resident magistrate who was targeting her.",1
764,"It seems like a ray of hope for the poor and vulnerable in rural Nigeria, as far as health care services live touch.",1
