,par_id,art_id,keyword,country,text,label,orig_label,label_class,len_text,unbalanced_power,shallow_solution,presupposition,authority_voice,metaphor,compassion,the_poorer_merrier
6022,6023,@@13556556,women,ng,""""""" I do n't want a knife in the back , I do n't want him Ser Davos blown up with wildfire , I do n't want to be poisoned . I think perhaps he would open a little flower shop somewhere and settle down with a lot of attractive women from Dorne with lots of Dornish wine , """" said Cunningham .""",0,0,"[0, 0, 0, 0, 0, 0, 0]",292,0,0,0,0,0,0,0
3779,3780,@@24082965,women,gh,So how did Kuami Eugene take a u-turn from the gospel or backslide ( as some people will say ) to the extent that he would now state in interviews that he prefers older women ( sugar mummies ) as partners ?,0,0,"[0, 0, 0, 0, 0, 0, 0]",206,0,0,0,0,0,0,0
5386,5387,@@16618396,immigrant,ng,"Trump has taken strong anti-immigrant stances after running a campaign that focused on limiting Muslim refugee access to the U.S. and building a wall to border Mexico . On Friday , the president signed an executive action to establish new vetting procedures for some people seeking to enter the U.S. , saying the measure would prevent terrorists from being admitted .",0,0,"[0, 0, 0, 0, 0, 0, 0]",367,0,0,0,0,0,0,0
9358,9359,@@2888639,homeless,us,"""More than once , a mentally ill homeless person showed up at the front door of the building , insisting that they either lived there or wanted to rent an apartment . The historic district of Rockville was a """" nice """" part of town in which you almost never saw people living on the street , so it was even stranger .""",0,0,"[0, 0, 0, 0, 0, 0, 0]",318,0,0,0,0,0,0,0
8165,8166,@@4406160,immigrant,ca,""""""" Attracting and retaining immigrants with high levels of skill will help Canada compete in the knowledge-based world economy , """" he added . """" With this initiative , we are telling the innovators of tomorrow that Canada is ready to welcome them and their ideas . """"""",0,0,"[0, 0, 0, 0, 0, 0, 0]",270,0,0,0,0,0,0,0
6161,6162,@@19299349,disabled,ca,"Texas also reinstated left-handed pitcher Martin Perez from the 10-day disabled list to start the series opener against Boston . To make room on the 25-man roster , right-hander Keone Kela was put on the 10-day DL with right shoulder soreness and lefty Dario Alvarez was optioned to Triple-A Round Rock .",0,0,"[0, 0, 0, 0, 0, 0, 0]",304,0,0,0,0,0,0,0
7733,7734,@@19869552,hopeless,my,"""About 80 percent of women experience """" baby blues """" within the first few weeks of child birth , often defined by mood swings and irritability or sadness . Maternal depression is longer lasting and has more-severe symptoms , which can include anxiety , sleeplessness , extreme worry about the baby , feelings of hopelessness , and recurrent """" intrusive thoughts """" about hurting themselves or the baby .""",0,0,"[0, 0, 0, 0, 0, 0, 0]",407,0,0,0,0,0,0,0
10164,10165,@@242232,immigrant,gb,The great-grandfather of Ukip leader Nigel Farage was born to German immigrants,0,0,"[0, 0, 0, 0, 0, 0, 0]",79,0,0,0,0,0,0,0
9241,9242,@@7742168,immigrant,gh,""""""" Opponents already are using his negative comments about women and immigrants to mobilize support among those constituencies , and those efforts will intensify as we move toward the general election , """" West said .""",0,0,"[0, 0, 0, 0, 0, 0, 0]",219,0,0,0,0,0,0,0
5508,5509,@@1907489,women,tz,He went on to cite the importance of all stakeholders joining hands in their various capacities to end all forms of violence on children and women .,0,0,"[0, 0, 0, 0, 0, 0, 0]",148,0,0,0,0,0,0,0
8770,8771,@@19982106,disabled,ca,"Giants manager Bruce Bochy wanted to make sure Mark Melancon 's first appearance off the disabled list did n't come in a high-leverage situation after the $62 million closer missed more than six weeks with a right forearm strain . He was able to do that , as Melancon allowed one hit and had one strikeout against his most recent team in the eighth inning , his first work since June 27 .",0,0,"[0, 0, 0, 0, 0, 0, 0]",388,0,0,0,0,0,0,0
7235,7236,@@20069933,immigrant,za,"The Polish immigrant had colluded with SA Conservative party MP Clive Derby-Lewis to execute Hani , who was a constant thorn in the side of white oppressors during apartheid . <h> Chris Hani 's murder",0,0,"[0, 0, 0, 0, 0, 0, 0]",200,0,0,0,0,0,0,0
8869,8870,@@22852622,women,us,"""Some mark International Women 's Day by going on strike . """" A Day without a Woman """" largely fizzles , accentuating the divide between women who have to work and those who choose to .""",0,0,"[0, 0, 0, 0, 0, 0, 0]",186,0,0,0,0,0,0,0
7453,7454,@@4696809,refugee,jm,"Benjamin said the conclusion of a national security risk was arrived at based on evidence that several Syrian nationals , some who had allegedly been residing in Antigua since 2013 , were smuggled out on a boat and caught by US Coast Guard . They later applied for refugee status/political asylum when taken on land in the United States Virgin Islands . <h> ADVERTISEMENT",0,0,"[0, 0, 0, 0, 0, 0, 0]",371,0,0,0,0,0,0,0
1066,1067,@@24115995,poor-families,ph,BUSINESSMAN Norberto Quisumbing Jr . of the Norkis Group of Companies has a challenge for families who can spare some of what they have : why not adopt poor families and help them break the cycle of poverty ?,1,4,[1 1 0 1 1 1 0],208,1,1,0,1,1,1,0
7048,7049,@@4609914,women,jm,"With a literacy rate of 92 per cent for its women and only 82 per cent for its men , Jamaica had a female-to-male ratio of 1.12 . This put Jamaica at second in the world , just below Lesotho at a ratio of 1.30 .",0,0,"[0, 0, 0, 0, 0, 0, 0]",211,0,0,0,0,0,0,0
5931,5932,@@18237386,refugee,gb,"Constance on the Edge reminded me of last year 's The Baulkham Hills African Ladies Troupe , another inspiring film about African refugees starting anew in Australia ; another reminder that deep-seated trauma can not be turned off like a switch ; another portrayal of the road to recovery being long , rocky and circuitous . Both highlight the importance of resilience-building community initiatives , and both are directed by women who appear to have an innate understanding of when to nudge their subjects and when to give them space -- drawing great results for their films and creating cathartic experiences for director and subject alike .",0,1,"[0, 0, 0, 0, 0, 0, 0]",644,0,0,0,0,0,0,0
5689,5690,@@2128616,poor-families,za,"This is why I believe children from poor families must be supported . After all , the students are 100 percent correct -- education is the only tool that will take them out of the curse of poverty .",1,3,[0 0 0 1 1 1 0],198,0,0,0,1,1,1,0
10446,10447,@@20361725,women,ph,"NU thus gave new coach Babes Castillo a winning welcome in the collegiate level , after he took over from Roger Gorayeb following the conclusion of the UAAP Season 79 women 's volleyball tournament .",0,0,"[0, 0, 0, 0, 0, 0, 0]",199,0,0,0,0,0,0,0
7119,7120,@@474256,migrant,za,"""The notion of """" pilgrimage """" offers a power motif to explore the journeys of migrants : migration is not only flight but also a journeying to some promised , perhaps sacred , space across the border . The sacred space may be safety or a site of healing , but there are also private pilgrimages , as Dangor explores : pilgrimages to the sources of memory and longing .""",0,0,"[0, 0, 0, 0, 0, 0, 0]",371,0,0,0,0,0,0,0
5318,5319,@@4629529,in-need,jm,""""""" For each patient that the University Hospital admits to the Intensive Care Unit ( ICU ) , there are at least three others that are in need of that space , """" said consultant anaesthetist , Marina Scarlett .""",0,0,"[0, 0, 0, 0, 0, 0, 0]",211,0,0,0,0,0,0,0
2025,2026,@@25135764,homeless,gb,"When that marriage broke down , he became homeless and was helped back on his feet by a stranger - which , he thinks , explains why he felt so moved to act in the aftermath of the Grenfell fire .",0,0,"[0, 0, 0, 0, 0, 0, 0]",195,0,0,0,0,0,0,0
7760,7761,@@4719318,disabled,jm,"Permanent Secretary in the Ministry of Labour and Social Security , Colette Roberts Risden , in her greeting delivered by Chief Technical Director of Social Security , Dione Jennings , commended the employees of JCPD for their service to the disabled community over the years .",0,0,"[0, 0, 0, 0, 0, 0, 0]",277,0,0,0,0,0,0,0
3750,3751,@@590517,immigrant,ca,But he wonders whether many recent immigrants would still vote Conservative if they knew everything about the party 's hard-right Reform roots .,0,0,"[0, 0, 0, 0, 0, 0, 0]",144,0,0,0,0,0,0,0
2417,2418,@@16627885,refugee,jm,Trump on Friday signed an executive order suspending the US refugee resettlement program for 120 days .,0,0,"[0, 0, 0, 0, 0, 0, 0]",103,0,0,0,0,0,0,0
4987,4988,@@8328167,refugee,ng,"In 2015 alone , approximately 163,000 individuals applied for asylum in Sweden . Likewise , according to the International Organization for Migration , some 200,000 Afghans applied for refugee status in European countries last year .",0,0,"[0, 0, 0, 0, 0, 0, 0]",233,0,0,0,0,0,0,0
6451,6452,@@1937986,women,tz,"Women 's Legal Aid Centre ( WLAC ) lawyer , Ms Faudhia Yasin , said that campaign rallies are the best places where women could judge and choose the right candidates for the coming elections .",0,0,"[0, 0, 0, 0, 0, 0, 0]",192,0,0,0,0,0,0,0
